"employment.farmers","employment.tradesmen","employment.managers","employment.workers","employment.unemployed","employment.middleempl","employment.retired","employment.employrate","employment.income","housing.density","housing.primaryres","housing.houses","housing.owners","housing.council","services.butcher","services.baker","services.postoffice","services.dentist","services.grocery","services.nursery","services.doctor","services.chemist","services.restaurant","environment.building","environment.water","environment.vegetation","environment.agricul"
0.67,4.5,5.33,22.34,11.24,10.91,45.02,87.1,22991.14,114.98,64.99," inf 90%",67.33," inf 5%","0","2 or +","1 or +","3 or +","0","0","3 or +","2 or +","3 or +",1.066940356,0.358162406,88.87659816,0.97036137
1.02,4.5,10.41,33.73,12.53,15.58,22.23,93.08,28584.88,94.33,94.96," sup 90%",86.58," inf 5%","2 or +","2 or +","1 or +","1 to 2","1 or +","0","3 or +","1","2",0.817719627,3.193296275,60.23526796,23.05801644
0.07,3.26,9.58,33.41,14.04,18.56,21.09,91.32,26345.85,961.54,96.27," inf 90%",68.95," sup 5%","2 or +","2 or +","0","3 or +","0","0","3 or +","2 or +","3 or +",8.358668819,0.169167975,21.73625218,12.34646502
3.45,3.45,2.46,37.93,19.21,10.84,22.66,91.54,19697.65,100.89,93.55," sup 90%",63.1," sup 5%","1","1","0","0","1 or +","0","0","0","1",1.212358579,0.45866609,26.8831911,63.16358475
1.54,5.66,8.48,21.6,16.45,15.94,30.34,90.35,27373.81,109.38,90.94," sup 90%",72.96," inf 5%","1","2 or +","0","1 to 2","0","0","1 to 2","1","3 or +",1.214691823,9.84997741,22.84403945,59.77864939
5.49,2.2,12.09,24.18,16.48,10.99,28.57,92.76,22839.36,75.96,88.02," sup 90%",81.25," inf 5%","0","0","0","0","0","0","0","0","0",0.83127577,20.10201261,7.852831943,70.45156727
0,4,6,48,4,8,30,93.85,20161.28,43.42,93.5," sup 90%",85.44," inf 5%","0","0","0","0","0","0","0","0","0",0.591476319,0.090041782,65.99687245,21.68985101
2.49,2.49,4.15,40.65,13.71,14.52,21.99,89.38,20003.49,154.3,90.97," sup 90%",71.67," inf 5%","0","1","0","0","0","0","0","0","0",1.666420155,0.264255397,21.40062911,73.85022488
0.17,4.27,4.95,29.21,13.92,15.46,32.02,87.31,21698.38,70.81,84.01," inf 90%",69.17," inf 5%","0","2 or +","1 or +","1 to 2","0","0","3 or +","2 or +","3 or +",0.526759484,2.555661625,72.77775263,14.83318037
12,4,8,44,0,8,24,98.55,17449.19,18.78,81.47," sup 90%",77.36," inf 5%","0","0","0","0","0","0","0","0","0",0.409641184,0.034252057,35.25940468,61.11429111
1.57,2.62,6.29,29.36,10.48,11.47,38.21,91.6,18623.93,58.09,91.73," sup 90%",59.75," inf 5%","2 or +","1","1 or +","1 to 2","1 or +","0","1 to 2","1","1",0.64757047,0.141538759,59.63699351,30.64568706
1.43,2.62,7.38,40.95,15,13.33,19.29,94.98,22103,41.62,94.97," sup 90%",81.15," inf 5%","0","1","1 or +","1 to 2","1 or +","0","1 to 2","0","0",0.409814091,1.22336928,80.3620392,9.421804177
0,4.86,8.11,33.51,10.81,21.62,21.08,93.52,24638.48,147.24,94.32," sup 90%",85.21," inf 5%","0","0","0","0","0","0","0","0","0",1.406029399,0.022770991,58.08175616,21.76977452
7.14,16.07,1.79,26.79,10.71,7.14,30.36,93.66,19012.16,71.9,86.85," sup 90%",77.19," inf 5%","0","0","0","0","0","0","0","0","0",1.008328367,0.335588434,22.10892427,68.83520623
0,6.35,6.35,44.44,1.59,17.46,23.81,92.09,17705.2,43,84.42," sup 90%",80.88," inf 5%","0","0","0","0","0","0","0","0","0",0.536843419,0.162991927,40.42734517,53.85844909
1.05,8.42,5.26,31.58,12.63,20,21.05,91,19661.05,10.39,79.81," sup 90%",83.24," inf 5%","0","0","0","0","0","0","0","0","1",0.108199977,0.177931296,95.45863239,1.875596219
19.23,3.85,7.69,25,7.69,13.46,23.08,95.21,20429.54,53.1,80," sup 90%",77.42," inf 5%","0","0","0","0","0","0","0","0","0",1.392953758,7.88678041,12.13144752,77.12011332
1.91,4.78,6.7,35.89,12.44,20.1,18.18,91.19,23392.43,99.9,93.01," sup 90%",78.27," inf 5%","1","0","0","0","0","0","0","0","1",0.850346584,0.095101664,29.52651805,66.16733104
0.35,4.41,8.93,36.19,13.23,17.98,18.91,91.38,23627.34,42.14,93.97," inf 90%",69.53," inf 5%","1","2 or +","1 or +","3 or +","0","0","3 or +","1","3 or +",0.482682587,0.20902273,67.32386627,19.65273314
3.26,2.51,4.26,32.08,17.03,12.28,28.57,90.81,19175.41,142.68,87.2," sup 90%",65.5," inf 5%","1","1","1 or +","1 to 2","1 or +","0","3 or +","1","2",1.711454689,2.644813075,18.45842413,72.22001991
0,0,5.56,50,5.56,11.11,27.78,86.36,25956.37,34.25,79.45," sup 90%",89.47," inf 5%","0","0","0","0","0","0","0","0","0",0.722416458,0.373430879,12.69675679,86.10667972
0.15,2.04,3.31,37.54,17.95,12.45,26.57,87.76,18992.82,671.5,95.95," inf 90%",49.19," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","0","3 or +","2 or +","3 or +",7.658595933,10.86715301,9.719674466,22.09725997
1.91,6.37,11.46,22.29,8.92,14.65,34.39,95.12,29298.52,97.79,91.11," sup 90%",74.06," inf 5%","0","0","0","0","1 or +","0","0","0","2",1.12517506,9.954549569,27.14487641,58.08511841
3.03,5.05,2.02,40.42,11.11,10.1,28.26,86.64,19410.31,42.42,87.11," sup 90%",76.97," inf 5%","0","0","0","0","1 or +","0","0","0","0",0.625121278,0.206200451,51.40601181,42.53195843
2.07,2.07,4.83,37.93,11.03,13.79,28.28,88.79,20172.41,124.91,84.47," sup 90%",76.77," inf 5%","0","0","0","0","0","0","0","0","0",0.90153361,41.37776479,5.433920713,39.81844483
1.44,3.71,4.54,28.59,14.61,9.1,38,90.28,19240.63,124.97,86.01," inf 90%",55.32," sup 5%","2 or +","2 or +","1 or +","3 or +","0","0","3 or +","2 or +","3 or +",1.589879051,1.102605281,41.92219159,44.94449142
0.48,2.84,8.29,37.75,11.09,18.48,21.08,92.51,22791.18,341.26,95.35," sup 90%",77.83," inf 5%","1","1","1 or +","1 to 2","0","0","3 or +","1","2",2.979809547,4.536788467,33.16182142,38.55051474
5.26,3.16,4.21,33.16,12.63,8.42,33.16,90.7,19625.25,40.77,76.11," sup 90%",77.14," inf 5%","0","2 or +","0","0","1 or +","0","1 to 2","1","1",0.998646418,1.097092505,21.53311093,72.29180092
0.04,3.38,7.83,32.78,14.53,15.71,25.73,88.9,20154.73,2492.87,93.52," inf 90%",46.29," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",14.63469194,9.336510852,12.51162706,4.804206093
0,4.59,7.81,36.68,11.45,11.48,27.98,92.35,19500.41,354.43,86.72," inf 90%",59.49," inf 5%","1","2 or +","0","0","0","0","0","0","1",3.710841911,5.296349699,15.90929452,65.1989612
0.36,4.15,5.57,35.42,13.27,12.8,28.44,88.36,20495.32,27.32,86.91," sup 90%",65.59," sup 5%","1","2 or +","1 or +","1 to 2","0","0","3 or +","2 or +","3 or +",0.24953861,0.106374331,87.70169501,5.146730351
5,2.5,5,32.5,5,17.5,32.5,93.2,19391.88,47.43,89.12," sup 90%",86.42," inf 5%","0","0","0","0","0","0","0","0","0",0.54667914,0.016084633,58.06845718,37.58878768
4.55,15.91,4.55,34.09,13.64,9.09,18.18,93.91,19232.12,71.79,80," sup 90%",71.88," inf 5%","0","0","0","0","0","0","0","0","0",0.908675702,0.111179592,28.94097953,63.4504563
9.59,2.74,2.74,36.99,16.44,9.59,21.92,91.3,18923.96,48.87,84.63," sup 90%",77.05," inf 5%","0","0","0","0","0","0","0","0","0",0.85434957,0.166612362,30.86115905,62.75427199
0.44,2.21,4.86,34.91,11.51,9.27,36.81,90.3,19334.7,30.82,85.32," sup 90%",69.33," inf 5%","0","1","0","1 to 2","1 or +","0","1 to 2","1","1",0.457311498,0.064783971,84.48058727,9.81794885
5.33,2.96,2.66,35.8,14.79,10.36,28.11,90.34,20226.93,97.5,88.43," sup 90%",83.21," inf 5%","0","1","1 or +","3 or +","1 or +","0","1 to 2","1","2",1.332461157,0.163126751,18.42785257,75.69245772
7.32,7.32,2.44,31.71,12.2,9.76,29.27,92.55,20402.04,36.48,93.38," sup 90%",82.35," inf 5%","0","0","0","0","0","0","0","0","0",0.458234447,0.308085205,45.44762109,48.14046377
1.83,4.96,8.09,29.77,10.97,16.97,27.42,92.57,27026.25,126.18,95.47," sup 90%",81.79," inf 5%","0","0","0","0","1 or +","0","0","0","1",1.718105762,0.245559337,31.94695819,54.88020363
3.26,6.52,5.43,28.26,16.3,14.13,26.09,86.76,18602.69,70.88,91.75," sup 90%",77.53," inf 5%","0","1","0","0","0","0","0","0","1",1.010317491,0.039813679,36.68456909,58.43587968
0.54,3.69,4.62,39.06,14.4,14.36,23.33,90.71,21841.28,122.46,91.79," inf 90%",69.33," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","0","3 or +","2 or +","3 or +",1.46666643,1.826842542,78.54417297,2.548978394
1.83,3.65,9.13,32.88,14.61,10.05,27.85,91.89,21770.45,175.88,94.07," inf 90%",56.09," inf 5%","1","1","0","0","0","0","1 to 2","0","1",1.670799505,5.99458371,31.5557552,48.98595063
6.98,0,4.65,30.23,16.28,4.65,37.21,91.67,22044,22.71,88.96," sup 90%",77.53," inf 5%","0","0","0","0","0","0","0","0","0",0.405513592,0.039918517,61.73493078,32.67258021
3.92,1.96,5.88,31.37,5.88,23.53,27.45,95.56,22319.23,80.19,90.49," sup 90%",81.48," inf 5%","0","0","0","0","0","0","0","0","0",1.401624457,1.910973356,12.02121153,78.18714094
13.21,1.89,3.77,32.08,15.09,7.55,26.42,88.72,23158.38,34.26,68.09," sup 90%",66.67," inf 5%","0","1","0","0","0","0","0","0","0",0.909667621,0.058121579,5.983436539,89.90593727
0.24,3.38,9.05,31.78,15,17.6,22.96,92.62,24405.21,433.66,96.43," inf 90%",60.23," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",4.332825899,9.022064276,22.16593247,37.40007202
4.76,7.74,3.57,37.5,9.52,8.93,27.98,89.56,17146.08,29.1,86.05," sup 90%",69.11," inf 5%","0","1","0","0","0","0","1 to 2","1","2",0.441352051,0.223521297,32.46723902,63.23689809
0.32,1.59,5.4,33.71,15.04,15.26,28.68,81.26,17694.7,760.44,80.42," inf 90%",34.08," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","0","3 or +","2 or +","3 or +",3.134972447,53.175072,5.651394619,24.15475053
0,3.51,3.51,42.11,15.79,12.28,22.81,93.9,20033.06,123.2,91.74," sup 90%",82," inf 5%","0","0","0","0","0","0","0","0","0",1.040907427,0.000830264,27.30074176,68.07277313
4.36,4.36,5.45,33.71,21.64,6.53,23.96,89.69,20820.87,81.9,77.5," sup 90%",63.93," sup 5%","0","1","0","0","0","0","0","0","0",1.249062026,0.063257431,17.42115348,76.38523415
1.79,3.57,5.36,23.81,13.1,21.43,30.95,93.16,27844.93,188.81,95.82," sup 90%",86.31," inf 5%","0","1","0","0","0","0","0","0","0",1.525408865,0.372351555,43.22450552,45.09642093
0.68,2.74,8.22,28.08,15.07,16.44,28.77,91.47,22153.42,100.27,93.6," sup 90%",85.25," inf 5%","0","0","0","0","0","0","0","0","0",1.098328665,2.866075449,33.89920279,57.68916334
0.1,3.04,13.97,23.93,24.83,15.73,18.4,85.7,23635.51,4795.89,90.25," inf 90%",31.18," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",21.44189727,11.00015651,9.726281859,4.98575818
33.33,0,11.11,0,11.11,11.11,33.33,95.65,NA,19.42,80.97," sup 90%",76.47," inf 5%","0","0","0","0","0","0","0","0","0",0.456720282,0.0178183,27.96722681,67.35118075
0,5.05,16.1,24.93,12.94,14.2,26.78,94,37437.63,410.56,96.66," inf 90%",67.42," inf 5%","0","1","1 or +","1 to 2","1 or +","0","3 or +","1","3 or +",3.523774038,4.340790032,30.8159268,34.83290654
0,9.52,0,19.05,14.29,9.52,47.62,83.33,14394.85,17,81.28," sup 90%",71.74," inf 5%","0","0","0","0","0","0","0","0","1",0.341222883,4.844767794,6.450039585,86.61040596
3.37,1.98,5.84,32.22,17.14,9.67,29.78,84.83,18370.08,211.48,87.57," inf 90%",53.63," inf 5%","0","2 or +","1 or +","1 to 2","1 or +","0","3 or +","1","3 or +",1.989944946,20.44128597,9.586841536,64.25661166
20,0,10,30,10,5,25,90.7,23083.51,1.86,66.1," sup 90%",48.72," sup 5%","0","0","0","0","0","0","0","0","1",0.032838811,0.026440474,64.62498102,32.64377799
0.08,3.22,14.7,23,14.55,15.61,28.84,90.93,28649.82,4416.1,91.86," inf 90%",58.34," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",19.09305647,0.01784657,16.46075474,0
0,4.04,6.06,41.41,13.13,12.12,23.23,91.84,20017.44,16.15,84.61," sup 90%",82.74," inf 5%","0","0","0","0","0","0","0","0","1",0.158828163,0.115617629,88.6004605,4.986511516
1.56,5.45,7.39,33.46,11.28,11.67,29.18,89.2,18511.09,519.92,87.87," inf 90%",55.19," sup 5%","0","1","1 or +","1 to 2","0","0","3 or +","1","3 or +",4.010339315,5.077705856,31.38297596,45.11413145
7.5,0,2.5,40,12.5,15,22.5,94.51,25092.18,36.59,90.81," sup 90%",66.25," inf 5%","0","0","0","0","0","0","0","0","0",0.635275837,0.208540271,37.57347844,55.00858799
4.21,2.81,2.11,37.19,15.79,6.67,31.23,85.94,16152.21,28.01,81.65," sup 90%",64.39," inf 5%","0","1","1 or +","1 to 2","0","0","1 to 2","1","0",0.808382153,5.214252645,10.05406204,66.61543168
10.53,5.26,2.63,39.47,7.89,13.16,21.05,89.38,21753.34,35.69,91.38," sup 90%",79.73," inf 5%","0","0","0","0","0","0","0","0","0",0.48791555,0.648157445,50.72241081,44.40109916
0.27,3.76,12.18,29.94,12.94,19.9,21.01,92.77,25864.39,1019.62,96.52," inf 90%",58.97," sup 5%","2 or +","2 or +","1 or +","3 or +","0","1 or +","3 or +","2 or +","3 or +",7.362820273,9.376598852,18.74179858,25.44870975
0.7,4.23,4.93,35.92,11.97,12.68,29.58,90.27,20811.74,33.46,84.59," sup 90%",80.13," inf 5%","0","1","0","0","0","0","0","0","1",0.400820175,0.040807931,78.40717665,16.23979555
0,6.98,10.97,38.15,14.96,15.96,12.97,92.44,22423.28,30.7,94.45," sup 90%",76.17," inf 5%","0","0","1 or +","1 to 2","0","0","1 to 2","0","2",0.24485508,0.531028486,91.41095822,0.356169822
1.45,2.9,5.8,26.09,11.59,24.64,27.54,89.47,25305.85,114.62,82.96," sup 90%",84.51," inf 5%","0","0","0","0","0","0","0","0","0",1.248191943,12.15249991,17.5962474,63.7844835
1.61,8.06,4.84,41.94,12.9,11.29,19.35,90.51,28200.98,121.05,93.86," sup 90%",95.73," inf 5%","0","1","0","0","0","0","0","0","0",1.073500913,7.568761655,20.15591069,60.83743777
0.1,4,6.24,31.48,15.85,16.28,26.05,94.1,23822.02,307.63,94.66," sup 90%",71.63," inf 5%","2 or +","2 or +","1 or +","1 to 2","1 or +","0","3 or +","2 or +","3 or +",2.725087553,3.728511389,26.46126624,42.04440247
0.37,3.3,4.05,32.41,24.96,9.36,25.57,84.68,14226.32,446.14,87.41," inf 90%",37.47," sup 5%","2 or +","2 or +","1 or +","1 to 2","0","0","3 or +","2 or +","3 or +",4.693668741,2.396593222,14.09409227,65.84148395
0.91,3.2,3.2,40.64,12.33,15.07,24.66,88.89,24587.35,293.18,94.75," sup 90%",72.58," inf 5%","1","0","1 or +","0","0","0","1 to 2","0","1",2.173476977,0.427199414,29.74513422,57.28710446
1.11,3.33,6.11,43.33,8.89,10.56,26.67,93.32,26030.22,174.02,94.94," sup 90%",81.56," inf 5%","0","0","0","0","0","0","0","0","1",1.331015003,0.332699707,43.44870966,50.43228507
0.77,2.31,8.1,31.96,15.6,18.1,23.16,88.45,24824.81,252.25,92.5," sup 90%",75.69," inf 5%","0","1","1 or +","1 to 2","1 or +","0","1 to 2","1","1",1.913475001,6.431422964,35.41479421,48.34892256
0.92,4.41,9.01,22.25,15.53,20.11,27.77,93.51,29604.85,301.84,95.27," sup 90%",77.87," sup 5%","1","2 or +","1 or +","1 to 2","0","0","3 or +","1","3 or +",2.606375696,2.620842062,28.02559839,55.61507887
2.93,2.93,2.93,38.46,11.72,16.12,24.91,93.23,19601.6,55.15,89.03," sup 90%",74.62," inf 5%","0","0","0","0","0","0","0","0","0",0.566333889,0.028038058,29.42202245,66.19388156
5.75,2.3,2.3,29.89,12.64,5.75,41.38,92.72,19501.73,75.86,87.96," sup 90%",73.12," inf 5%","0","0","1 or +","0","0","0","0","0","0",1.149056156,0.299969435,25.66577919,71.41868578
0,4,2,36,10,10,38,87.28,18885.37,175.5,89.92," sup 90%",74.3," inf 5%","0","0","0","1 to 2","0","0","0","0","1",1.466693852,2.246777576,23.12702523,63.99611729
3.26,2.17,1.09,38.04,13.04,13.04,29.35,89.1,17475.9,74.48,81.72," sup 90%",73.66," inf 5%","0","0","0","0","0","0","0","0","0",1.188693368,0.083701689,36.90290679,57.56056043
0,2.63,12.21,23,15.3,20.36,26.51,90.99,28026.66,421.75,91.64," inf 90%",67.66," sup 5%","1","2 or +","1 or +","3 or +","1 or +","0","3 or +","2 or +","3 or +",3.624967797,0.93336582,59.54717174,6.114380006
0.81,5.24,4.44,39.11,18.15,10.89,21.37,91.94,21193.3,90.53,95.5," sup 90%",72.36," inf 5%","0","0","0","0","0","0","0","0","0",1.03767391,2.434588566,33.83974158,55.36595539
4.44,2.22,8.89,42.22,8.89,6.67,26.67,99.14,21776.85,28.13,92.63," sup 90%",79.55," inf 5%","0","0","0","0","0","0","0","0","0",0.538811175,1.22794169,30.68693095,57.9320832
8.2,4.1,8.2,32.79,13.11,9.84,23.77,95.64,22723.6,34.45,91.96," sup 90%",81.78," inf 5%","0","0","0","0","0","0","0","0","0",0.563723978,0.089056579,35.44493984,58.83762866
15.69,5.88,5.88,33.33,7.84,15.69,15.69,96.21,19256.17,23.19,74.42," sup 90%",70.1," inf 5%","0","0","0","0","0","0","0","0","0",0.606148905,0.307179726,18.13154376,79.147165
1.32,5.27,0.99,38.42,10.87,6.59,36.55,91.3,16966.82,11.87,82.35," sup 90%",60.38," sup 5%","0","2 or +","1 or +","0","1 or +","0","3 or +","1","3 or +",0.176394755,0.138754076,44.80845308,8.646019722
0,2.73,5.9,33.93,12.29,14.16,30.98,90.56,23035.87,1787.82,96.97," inf 90%",64.26," sup 5%","1","2 or +","1 or +","3 or +","0","0","3 or +","2 or +","3 or +",12.87345621,0.37549708,11.72283143,10.91403538
0.45,7.35,4.23,30.96,12.25,13.36,31.4,87.59,21128.5,12.34,26.04," inf 90%",72.9," inf 5%","2 or +","2 or +","1 or +","1 to 2","1 or +","0","1 to 2","1","3 or +",0.156287143,13.42883365,69.85924328,9.965601971
1.14,3.41,12.5,40.91,13.64,13.64,14.77,88.89,22145.74,101.18,87.81," sup 90%",76.97," inf 5%","0","0","0","0","0","0","0","0","1",1.233311681,0,26.36900834,70.90150692
0.3,3.72,8.41,24.69,18.54,16.38,27.97,93.04,30041.93,417.54,95.72," sup 90%",81.5," sup 5%","1","1","0","1 to 2","0","0","3 or +","1","1",3.361253238,0.082134804,31.03456535,44.36591556
6.64,4.98,2.07,27.8,14.94,7.88,35.69,89.67,21564.77,104.95,87.32," sup 90%",79.35," inf 5%","0","0","0","0","0","0","0","0","2",2.182675874,0.036406959,8.2410733,88.62298607
2.79,4.65,5.58,33.02,15.81,9.77,28.37,87.76,18438.09,93.28,80.15," sup 90%",80.32," inf 5%","0","1","1 or +","3 or +","1 or +","0","3 or +","1","1",1.67884229,0.086188477,31.87921725,60.19885051
4.76,4.76,5.95,22.62,14.29,9.52,38.1,87.73,19249.87,58.99,87.3," sup 90%",83.43," inf 5%","0","0","0","0","0","0","0","0","1",0.702289969,3.306921848,32.30017702,61.26800625
0,0,10,20,10,20,40,88.46,15048.15,1375,58.61," sup 90%",44.83," inf 5%","0","0","0","0","0","0","0","0","1",27.11151489,0,27.13765892,44.4545842
0.26,4.36,4.63,34.78,10.98,15.34,29.64,88.72,20268.63,156.69,91.93," inf 90%",65.16," sup 5%","1","2 or +","1 or +","3 or +","0","0","3 or +","2 or +","3 or +",1.081289055,0.048771695,84.11763997,4.443055372
8.57,8.57,0,40,2.86,0,40,91.86,18603.16,22.82,90.97," sup 90%",75," inf 5%","0","0","0","0","0","0","0","0","1",0.552451893,0.050267735,18.88797564,78.70870127
0.42,2.12,7.63,32.21,14.83,14.83,27.95,92.37,18748.16,143.04,90.1," inf 90%",62.78," sup 5%","1","1","1 or +","0","1 or +","0","3 or +","1","3 or +",1.458225273,3.644734628,22.14010149,65.42898977
0,9.43,3.77,33.96,9.43,16.98,26.42,90.08,19490.01,65.55,89.06," sup 90%",75.44," inf 5%","0","0","0","0","1 or +","0","0","0","0",0.923654505,0.603995385,21.97347295,70.57516595
2.49,2.82,1.99,28.02,17.41,6.3,40.98,75.48,13891.33,563.91,81.94," inf 90%",41," sup 5%","2 or +","2 or +","1 or +","1 to 2","1 or +","0","3 or +","2 or +","3 or +",4.683376542,1.688300199,24.40862473,54.06152841
0.72,2.16,7.45,35.1,13.46,17.31,23.8,92.4,23410.26,293.54,91.17," sup 90%",74.46," inf 5%","1","2 or +","1 or +","3 or +","0","1 or +","3 or +","1","1",1.924148312,0.523115299,59.42941615,21.36511656
0.88,3.98,3.54,31.42,11.95,8.85,39.38,87.34,18071.15,181.86,87.4," inf 90%",58.09," inf 5%","0","1","1 or +","0","0","0","1 to 2","1","3 or +",1.622189355,3.166732588,28.45774461,58.28994649
0,8.57,8.57,22.86,5.71,14.29,40,91.04,14823.64,20.84,79.55," sup 90%",77.05," inf 5%","0","0","0","0","1 or +","0","0","0","0",0.473058655,0.471966006,37.98640356,58.62299651
0,3.33,0,26.67,20,10,40,92.86,16616.47,25.95,85.8," sup 90%",86.21," inf 5%","0","0","0","0","0","0","0","0","0",0.46929184,0.152938648,59.96116878,31.62964588
1.27,3.8,2.22,45.25,13.92,9.49,24.05,88.65,16656.3,239.97,86.22," inf 90%",49.04," inf 5%","2 or +","2 or +","1 or +","1 to 2","1 or +","0","3 or +","2 or +","3 or +",2.848919829,0.282256635,34.36582493,51.32562883
1.85,5.56,5.56,27.78,12.96,3.7,42.59,88.04,19953.7,4.83,69.81," sup 90%",73.53," inf 5%","0","0","0","0","0","0","0","0","1",0.07234899,0.010202903,83.33321656,14.36349305
1.56,6.25,7.81,26.56,20.31,10.94,26.56,90.51,23782.09,40.24,83.44," sup 90%",77.31," inf 5%","0","0","0","0","0","0","0","0","0",0.583183238,1.316012821,47.26977215,45.31189181
7.84,5.88,9.8,21.57,17.65,9.8,27.45,93.16,19593.66,17.63,78.46," sup 90%",73.53," inf 5%","0","0","0","0","0","0","0","0","0",0.428637746,0.099198257,28.32309363,68.41485566
0.26,2.9,12.66,24.27,14.25,18.21,27.44,93.32,30829.17,246.13,95.41," sup 90%",84.42," inf 5%","0","1","0","1 to 2","1 or +","0","1 to 2","1","1",2.068209435,0.029090221,43.82990789,41.2978331
0.12,2.84,3.77,35.33,21.48,10.98,25.48,85.03,15987.93,4021.74,95.74," inf 90%",39.94," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",14.4161431,0.036113919,21.04993506,2.528910156
0.82,3,2.45,40.33,7.9,14.17,31.34,92.06,19733.01,226.82,90.3," inf 90%",67.39," sup 5%","0","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","1","1",2.890806123,2.845641326,33.93210738,43.39771739
3.03,6.06,6.06,42.42,15.15,0,27.27,90.91,17771.95,50.96,89.77," sup 90%",85.9," inf 5%","0","1","0","0","0","0","0","0","0",0.768037168,1.555981297,22.67916498,71.94380317
0.16,3.03,13.56,22.62,14.2,16.31,30.12,93.31,31201.44,164.8,96.74," sup 90%",80.18," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",1.806932548,0.408567879,66.39916546,18.040866
2.56,4.19,4.19,42.56,13.72,15.12,17.67,89.63,18449.28,118.79,93.71," sup 90%",80.09," inf 5%","0","2 or +","1 or +","3 or +","1 or +","0","0","0","0",1.448636329,0.184853044,28.07672878,65.56571199
0.77,10,1.54,36.15,6.15,12.31,33.08,91.12,18372.34,43.45,87.29," sup 90%",87.07," inf 5%","0","0","0","0","1 or +","0","0","0","0",0.409690412,0.962990714,62.60028132,29.90856487
0.57,5.13,3.13,40.45,13.67,10.54,26.5,92.76,20970.86,74.34,84.16," sup 90%",81.77," inf 5%","0","1","1 or +","1 to 2","1 or +","0","1 to 2","1","0",0.834665049,0.075666028,48.52229764,43.39186529
1.95,2.6,3.9,46.75,10.18,6.49,28.14,91.41,17523.45,59.55,91.11," sup 90%",82.94," inf 5%","0","0","0","0","0","0","1 to 2","0","1",0.97909937,0.086984741,27.237257,69.64667311
